,model_class,dataset_index,fix_param,protocol,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,score,well
124,Beattie,4,8,staircaseramp1,0.00019466576685021485,0.09351272414084114,1.689389420495069e-05,0.052928647903720184,0.0787226845922605,0.017340794417927352,0.022774140901598613,0.03640076121417143,0.0381,0.1300222241235506,4
125,Beattie,4,8,sis,0.00022344184628789174,0.06945870625121266,3.4599299192371004e-05,0.05454343149251053,0.08674263954375318,0.008756500078914882,0.005157027149053758,0.031671938304339946,0.1524,0.035915186096047984,4
126,Beattie,4,8,sis,0.00020378292510642718,0.06022650298558548,3.0328997232258822e-05,0.058047741596191665,0.08874159055443878,0.00941572634938886,0.0029289894359001887,0.027183840222325006,0.3048,0.0473934154827286,4
127,Beattie,4,8,sis,0.00019283391222341354,0.0567817827929177,2.838565941818091e-05,0.05988819172054305,0.09050789544613522,0.009551055436590471,0.0015759160101321693,0.02520613687629056,0.6096,0.05558987531997994,4
128,Beattie,4,8,sis,0.00024363610876329425,0.08113172727955516,3.554785149615388e-05,0.051410963302151176,0.07868333700040528,0.008723175738357864,0.007546072439577572,0.03657208940792311,0.08753081465077406,0.05886728168885395,4
129,Beattie,4,8,sis,0.0002455066689271808,0.0967579756398901,1.9234148475048248e-05,0.05186254653419681,0.05483477928479702,0.010199218672704916,0.012921318316058375,0.04588333567243397,0.0381,0.13924767426736015,4
130,Beattie,4,8,spacefill19,0.0002215785632478089,0.06986486531735384,3.496490634291948e-05,0.054529234329712295,0.08638725981214063,0.008817104520305964,0.0051529539359720595,0.03147873459666705,0.1524,0.0660732705302303,4
131,Beattie,4,8,spacefill19,0.00022235554083258654,0.06985404923071921,2.563311509190198e-05,0.0598258221323067,0.09274141047738907,0.009085431559921576,0.002895723926843746,0.025620654851780982,0.3048,0.08974074116893176,4
132,Beattie,4,8,spacefill19,0.00022942781718966133,0.06991095834877456,2.3638895094596712e-05,0.06164777832029254,0.09420372977366563,0.009200689791026343,0.001466526533098184,0.023596310866881146,0.6096,0.10565403056617363,4
133,Beattie,4,8,spacefill19,0.00020387789281515683,0.07652225415761521,3.9617458007270934e-05,0.05005428986935556,0.07125097251360184,0.009559426252154318,0.006468353607677563,0.038558030236362326,0.08753081465077406,0.10896905709277323,4
134,Beattie,4,8,spacefill19,0.00012026035039713884,0.09747843983464928,1.3137118216384908e-05,0.05454179974039178,0.049779381818660685,0.010444876946271317,0.009729714358989304,0.05062299373308037,0.0381,0.25247172517758415,4
135,Beattie,4,8,longap,0.00022224970647355473,0.07080787787054107,3.647394189868321e-05,0.05412703596678252,0.086837548281766,0.008700427893091943,0.005109480492670466,0.031718343631945374,0.1524,0.03220328933698763,4
136,Beattie,4,8,longap,0.0004986809395030081,0.05510092451864845,2.7502558241539365e-05,0.05721124912520454,0.11861242650443875,0.00028802695017184624,0.0023940761705174797,0.031430040657404776,0.3048,0.03757418695305908,4
137,Beattie,4,8,longap,0.000610179024972238,0.04997426465756609,2.260292701489933e-05,0.05931995916698301,0.13184864426813683,4.906012285797128e-11,0.001241312939171876,0.0299525978810918,0.6096,0.041481143979955545,4
138,Beattie,4,8,longap,0.00011262290101684662,0.09693166895035339,2.9808774455567198e-05,0.052951079604407786,0.07056189832380745,0.012537773195171437,0.00784688996435758,0.036098957061681765,0.08753081465077406,0.06508347619866162,4
139,Beattie,4,8,longap,0.00014393017705773906,0.0989756942228732,7.119666554606094e-06,0.06015286897228507,0.07101589597865259,0.008811606517457967,0.014651755959096898,0.03931061524016114,0.0381,0.15686370412249206,4
140,Beattie,4,8,hhbrute3gstep,0.0002256132799875068,0.06992980740113276,3.472036106919675e-05,0.05454250740080664,0.08712297607537559,0.008881605548805687,0.005146489550117928,0.0316057428206242,0.1524,0.032848979553139035,4
141,Beattie,4,8,hhbrute3gstep,0.00022635146199072932,0.06761605406206274,3.0476000244279305e-05,0.058655796392195085,0.08969215668027754,0.010169301445520354,0.0026356987895284015,0.02712404334326679,0.3048,0.05516583822875847,4
142,Beattie,4,8,hhbrute3gstep,0.00022776698857961304,0.06599141895779502,2.8960295907064596e-05,0.060543533680357246,0.09340030524851854,0.010755059488725759,0.0013600173368483696,0.025377869480893364,0.6096,0.06758210582413367,4
143,Beattie,4,8,hhbrute3gstep,0.00022049314276253754,0.0746480678136638,3.698014538645348e-05,0.05065650469471464,0.07900372900009994,0.009006694542146936,0.008315983872746112,0.035991578671933463,0.08753081465077406,0.07691716759034381,4
144,Beattie,4,8,hhbrute3gstep,0.0001786958772463402,0.09148935736405583,3.0085920765230416e-05,0.0478659456518198,0.04947666774943208,0.014629345597437287,0.015088175080944906,0.04444995244862033,0.0381,0.18298641196885976,4
145,Beattie,4,8,wangbrute3gstep,0.0002245040637552158,0.07001166869152284,3.4469951700206596e-05,0.054572915595418964,0.08637109144918882,0.00895757402899008,0.005097479916905118,0.031526526444867975,0.1524,0.030702013654229265,4
146,Beattie,4,8,wangbrute3gstep,0.00034370983453696046,0.059572674216562656,3.4129764514004666e-05,0.057533063015367474,0.08913232648990753,0.009660728593969256,0.002720925942133003,0.02683578588636592,0.3048,0.06205501594347615,4
147,Beattie,4,8,wangbrute3gstep,0.0003796689755163979,0.05689148380960043,3.3211873094442424e-05,0.059161871406998794,0.09484665833183649,0.010262119358757624,0.0014430062262867666,0.02481648993508918,0.6096,0.07916539744596429,4
148,Beattie,4,8,wangbrute3gstep,8.193890926416978e-05,0.09298705272212525,2.740166044742153e-05,0.05325238618187716,0.0789169939623049,0.0096894747223644,0.0076031091662301245,0.0368720160158627,0.08753081465077406,0.0930158613176834,4
149,Beattie,4,8,wangbrute3gstep,7.685677086690228e-05,0.0937474876120325,9.366418002800216e-06,0.05811043963221698,0.049398669111470686,0.013209923347817934,0.010807633989319745,0.0559212488334767,0.0381,0.23725389120991638,4
150,Beattie,5,8,staircaseramp1,0.00022565587002112554,0.06995518489713445,3.439610246763936e-05,0.054619635673297,0.0870277262239786,0.008722121522940936,0.005132868209685582,0.03175463028751349,0.1524,0.03026828762293942,5
151,Beattie,5,8,staircaseramp1,0.00021441673632856855,0.058396328916820665,2.8283935359071826e-05,0.058414034200931476,0.09454969601624748,0.008444504839218433,0.0028206863456480113,0.02795852187709353,0.3048,0.04058329514167984,5
152,Beattie,5,8,staircaseramp1,0.00020697585131777745,0.05494606264190905,2.5804515306180372e-05,0.060445125713015045,0.09821624738865926,0.008502205236543927,0.0014753518821666962,0.02625212035514803,0.6096,0.047725826518039326,5
